name,ck_oo_numberOfPrivateMethods,LDHH_lcom,LDHH_fanIn,WCHU_numberOfPublicAttributes,WCHU_numberOfAttributes,CvsWEntropy,LDHH_numberOfPublicMethods,WCHU_fanIn,LDHH_numberOfPrivateAttributes,CvsEntropy,LDHH_numberOfPublicAttributes,WCHU_numberOfPrivateMethods,WCHU_numberOfMethods,ck_oo_numberOfPublicAttributes,ck_oo_noc,ck_oo_wmc,LDHH_numberOfPrivateMethods,WCHU_numberOfPrivateAttributes,CvsLogEntropy,WCHU_noc,LDHH_numberOfAttributesInherited,WCHU_wmc,ck_oo_fanOut,ck_oo_numberOfLinesOfCode,ck_oo_numberOfAttributesInherited,ck_oo_numberOfMethods,ck_oo_dit,ck_oo_fanIn,LDHH_noc,WCHU_dit,ck_oo_lcom,WCHU_numberOfAttributesInherited,ck_oo_rfc,LDHH_wmc,LDHH_numberOfAttributes,LDHH_numberOfLinesOfCode,WCHU_fanOut,WCHU_lcom,ck_oo_cbo,WCHU_rfc,ck_oo_numberOfAttributes,ck_oo_numberOfPrivateAttributes,WCHU_numberOfPublicMethods,LDHH_dit,WCHU_cbo,CvsLinEntropy,WCHU_numberOfMethodsInherited,LDHH_fanOut,LDHH_numberOfMethodsInherited,LDHH_rfc,ck_oo_numberOfMethodsInherited,ck_oo_numberOfPublicMethods,LDHH_cbo,WCHU_numberOfLinesOfCode,CvsExpEntropy,LDHH_numberOfMethods
org.eclipse.core.runtime.adaptor.EclipseLog,5,0.131799,0.006013,2.08,3.13,0.265909,0,1.01,0.099306,7.634816,0.110715,2.02,4.05,8,0,33,0.126395,2.02,2.020809,0,0,4.05,9,454,0,30,1,2,0,0,365,0,112,0.147692,0.123092,0.272239,1.01,5.03,10,8.29,25,3,0,0,2.02,0.209703,0,0.015787,0,0.187455,0,7,0.02308,9.53,0.000938,0.147692
org.eclipse.core.runtime.adaptor.EclipseStarter,38,0.2248,0.056488,5.11,14.37,1.412587,0.025832,3.03,0.371186,24.321989,0.061295,13.19,14.24,27,0,51,0.185129,11.3,6.879084,0,0,14.24,42,1176,0,50,1,5,0,0,943,0,268,0.201194,0.371857,0.951219,16.19,27.77,44,30.34,67,38,3.03,0,16.19,0.822489,0,0.438976,0,0.878393,0,8,0.475954,44.96,0.094015,0.19949
org.eclipse.core.runtime.adaptor.LocationManager,11,0.084499,0.149526,3.03,3.05,0.382689,0,3.06,0.2,8.25428,0.22201,3.05,3.06,20,0,21,0.054471,1.01,2.296547,0,0,3.06,8,252,0,20,1,9,0,0,160,0,67,0.059275,0.20097,0.300927,4.05,5.05,17,7.24,35,14,1.01,0,6.1,0.271886,0,0.262121,0,0.269934,0,9,0.394063,10.16,0.010373,0.059275
org.eclipse.core.runtime.internal.adaptor.BasicLocation,4,0.121232,0.030308,0,0,0.112429,0.154579,2.02,0,3.717586,0,1.01,2.04,2,0,19,0.040483,0,1.086365,0,0,2.04,8,152,0,18,1,4,0,0,105,0,45,0.150234,0,0.138605,2.02,2.44,11,4.1,10,8,2.03,0,5.05,0.139204,0,0.104385,0,0.161894,0,14,0.17052,3.28,0.000206,0.150234
org.eclipse.core.runtime.internal.adaptor.BundleLocalizationImpl,0,0,0,0,1.01,0.030578,0,0,0,1.886339,0,0,0,0,0,2,0,0,0.450418,0,0,0,3,5,0,1,1,1,0,0,0,0,3,0,0,0.010313,0,0,4,1.01,0,0,0,0,0,0.028891,0,0,0,0.013119,0,1,0,1.01,0,0
org.eclipse.core.runtime.internal.adaptor.CachedManifest,0,0,0.015104,0,0,0.044332,0,1.01,0.015728,4.201806,0,0,0,0,0,9,0,1.02,1.154805,0,0,0,12,106,0,8,2,1,0,0,26,0,44,0,0,0.118123,1.02,0,12,3.14,2,2,0,0,1.02,0.128564,0,0.013861,0,0.122324,0,8,0.015184,3.49,0.000206,0
org.eclipse.core.runtime.internal.adaptor.ClasspathManifest,1,0,0,0,0,0.003392,0,0,0,0.773229,0,0,0,2,0,6,0,0,0.187345,0,0,0,10,52,0,5,1,1,0,0,8,0,20,0,0,0,0,0,11,0,4,2,0,0,0,0.012471,0,0,0,0,0,4,0,0,0,0
org.eclipse.core.runtime.internal.adaptor.ContextFinder,4,0.039405,0,0,3.03,0.352423,0.013333,0,0.045455,6.915219,0,2.03,3.04,0,0,10,0.028002,2.02,1.799232,0,0,3.04,1,108,0,9,2,1,0,0,34,0,36,0.041547,0.057456,0.16236,1.01,3.24,2,5.18,4,2,2.02,0,1.01,0.156607,0,0.016051,0,0.071833,0,2,0.016022,9.81,0,0.041547
org.eclipse.core.runtime.internal.adaptor.DefaultStartupMonitor,0,0,0,0,0,0.042501,0.022496,0,0,1.016689,0,0,1.01,0,0,3,0,0,0.278711,0,0,1.01,4,32,0,2,1,1,0,0,0,0,14,0.022874,0,0.019645,1.03,0,4,1.07,2,2,1.01,0,1.02,0.026498,0,0.024882,0,0.022288,0,2,0.026139,1.09,0,0.022874
org.eclipse.core.runtime.internal.adaptor.EclipseAdaptorHook,3,0.055617,0.022994,0,2.02,0.118539,0.01989,1.01,0.217937,3.124437,0,0,1.01,2,0,14,0,2.02,1.130533,0,0,1.01,31,121,0,13,1,0,0,0,68,0,55,0.019985,0.200407,0.249247,3.04,2.05,31,3.16,8,6,1.01,0,3.05,0.22234,0,0.155903,0,0.284715,0,10,0.166025,3.23,0.010857,0.019985
org.eclipse.core.runtime.internal.adaptor.EclipseAdaptorMsg,0,0.019212,0.047384,6.18,6.18,0.043057,0,2.02,0,5.181983,0.278412,1.01,1.03,75,0,1,0.02439,0,1.630369,0,0.020833,1.03,1,81,3,0,2,17,0,0,0,1.03,3,0.021097,0.271899,0.288948,1.04,1.03,18,1.18,76,1,1.02,0,2.04,0.237407,1.02,0.021009,0.020833,0.016693,6,0,0.04481,7.46,0.000267,0.021097
org.eclipse.core.runtime.internal.adaptor.EclipseAppLauncher,2,0,0,0,1.01,0.140204,0.022496,0,0.018366,4.531458,0,0,1.01,0,0,7,0,1.01,1.394966,0,0,1.01,16,97,0,6,1,1,0,0,0,0,30,0.022874,0.019183,0.162441,3.05,0,16,2.06,8,8,1.01,0,3.05,0.20211,0,0.149142,0,0.038829,0,4,0.156426,4.23,0.000691,0.022874
org.eclipse.core.runtime.internal.adaptor.EclipseClassLoadingHook,5,0.017166,0,0,2.04,0.151577,0,0,0.29562,2.690819,0,1.01,1.01,0,0,14,0,2.04,0.979766,0,0,1.01,17,180,0,13,1,0,0,0,78,0,57,0.019231,0.314851,0.25265,1.01,1.13,17,3.1,4,4,0,0,1.01,0.192213,0,0.013553,0,0.236384,0,8,0.015438,3.51,0.035651,0.019231
org.eclipse.core.runtime.internal.adaptor.EclipseCommandProvider,4,0.070986,0,0,1.02,0.230211,0.078894,0,0.049583,6.208711,0,2.04,3.09,0,0,10,0.05272,1.02,1.717797,0,0,3.09,16,185,0,9,1,1,0,0,32,0,51,0.088919,0.048357,0.132634,5.08,3.39,17,3.35,3,3,2.05,0,5.08,0.186417,0,0.130131,0,0.161012,0,5,0.135336,5.44,0.00006,0.088919
org.eclipse.core.runtime.internal.adaptor.EclipseEnvironmentInfo,1,0.067647,0.215104,0,0,0.076623,0.071429,2.02,0,4.540556,0,0,1.02,0,0,19,0,0,1.137145,0,0,1.02,5,157,0,18,1,5,0,0,139,0,36,0.071429,0,0.061784,1.01,1.33,10,2.03,16,13,1.02,0,3.03,0.092294,0,0.015787,0,0.085926,0,17,0.228029,1.06,0.000001,0.071429
org.eclipse.core.runtime.internal.adaptor.EclipseErrorHandler,1,0,0,0,0,0.004565,0,0,0,0.773229,0,0,0,0,0,12,0,0,0.187345,0,0,0,11,56,0,11,1,0,0,0,53,0,21,0,0,0,0,0,11,0,2,2,0,0,0,0.012471,0,0,0,0,0,10,0,0,0,0
org.eclipse.core.runtime.internal.adaptor.EclipseLazyStarter,4,0.03336,0,0,1.07,0.081604,0.01989,0,0.017937,3.232188,0,2.02,2.11,0,0,20,0.039805,1.07,0.979268,0,0,2.11,33,178,0,19,1,0,0,0,149,0,87,0.036033,0.021159,0.030717,2.15,3.22,33,2.44,7,7,1.09,0,2.15,0.133074,0,0.036159,0,0.031054,0,15,0.03754,2.94,0.000206,0.036033
org.eclipse.core.runtime.internal.adaptor.EclipseLogHook,2,0,0,0,0,0.005235,0,0,0,0.773229,0,0,0,0,0,13,0,0,0.187345,0,0,0,17,72,0,12,1,0,0,0,64,0,45,0,0,0,0,0,17,0,2,1,0,0,0,0.012471,0,0,0,0,0,10,0,0,0,0
org.eclipse.core.runtime.internal.adaptor.EclipseStorageHook,9,0.125095,0.022994,0,4.06,0.080019,0.126321,1.01,0.145688,3.16957,0,1.01,3.05,2,0,40,0.02381,4.06,0.936132,0,0,3.05,27,361,0,39,1,3,0,0,511,0,119,0.141756,0.164092,0.141383,2.06,4.11,29,4.15,19,17,2.02,0,2.05,0.121125,0,0.036159,0,0.148681,0,29,0.03754,4.66,0.000206,0.141756
org.eclipse.core.runtime.internal.adaptor.IModel,0,0,0,0,0,0.008134,0,0,0,1.736714,0,0,0,62,0,0,0,0,0.415201,0,0,0,0,64,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,62,0,0,0,0,0.026753,0,0,0,0,0,0,0,0,0,0
