name,ck_oo_numberOfPrivateMethods,LDHH_lcom,LDHH_fanIn,WCHU_numberOfPublicAttributes,WCHU_numberOfAttributes,CvsWEntropy,LDHH_numberOfPublicMethods,WCHU_fanIn,LDHH_numberOfPrivateAttributes,CvsEntropy,LDHH_numberOfPublicAttributes,WCHU_numberOfPrivateMethods,WCHU_numberOfMethods,ck_oo_numberOfPublicAttributes,ck_oo_noc,ck_oo_wmc,LDHH_numberOfPrivateMethods,WCHU_numberOfPrivateAttributes,CvsLogEntropy,WCHU_noc,LDHH_numberOfAttributesInherited,WCHU_wmc,ck_oo_fanOut,ck_oo_numberOfLinesOfCode,ck_oo_numberOfAttributesInherited,ck_oo_numberOfMethods,ck_oo_dit,ck_oo_fanIn,LDHH_noc,WCHU_dit,ck_oo_lcom,WCHU_numberOfAttributesInherited,ck_oo_rfc,LDHH_wmc,LDHH_numberOfAttributes,LDHH_numberOfLinesOfCode,WCHU_fanOut,WCHU_lcom,ck_oo_cbo,WCHU_rfc,ck_oo_numberOfAttributes,ck_oo_numberOfPrivateAttributes,WCHU_numberOfPublicMethods,LDHH_dit,WCHU_cbo,CvsLinEntropy,WCHU_numberOfMethodsInherited,LDHH_fanOut,LDHH_numberOfMethodsInherited,LDHH_rfc,ck_oo_numberOfMethodsInherited,ck_oo_numberOfPublicMethods,LDHH_cbo,WCHU_numberOfLinesOfCode,CvsExpEntropy,LDHH_numberOfMethods
org.eclipse.jdt.core.BindingKey,0,0.056318,0,0,0,0.037637,0.072321,0,0,8.177617,0,0,5.09,0,0,13,0,0,2.946597,0,0,5.09,4,80,0,12,1,4,0,0,24,0,28,0.071919,0,0.067282,1.01,6.7,8,5.19,1,1,5.09,0,1.01,0.530389,0,0.0112,0,0.071428,0,12,0.011247,6.57,0.293898,0.071722
org.eclipse.jdt.core.BufferChangedEvent,0,0,0,0,0,0.003054,0,0,0,3.480503,0,0,0,0,0,5,0,0,2.00575,0,0,0,1,24,0,4,2,3,0,0,6,0,6,0,0,0,0,0,4,0,4,4,0,0,0,0.548501,0,0,0,0,0,4,0,0,0.316807,0
org.eclipse.jdt.core.CheckDebugAttributes,1,0,0,0,0,0.005,0,0,0,4.076315,0,0,0,0,0,5,0,0,2.116014,0,0,0,7,54,0,4,2,0,0,0,2,0,20,0,0,0.103581,0,0,7,1.01,2,2,0,0,0,0.542864,0,0,0,0.149362,0,3,0,1.03,0.303326,0
org.eclipse.jdt.core.ClasspathContainerInitializer,0,0.023389,0,1.02,1.02,0.017219,0.042851,0,0,3.850135,0.028557,0,2.04,2,1,10,0,0,0.971208,0,0,2.04,3,46,0,9,1,4,0,0,30,0,15,0.043051,0.028848,0.035686,1.01,2.2,6,2.06,2,0,2.04,0,0,0.074761,0,0.029519,0,0.042745,0,9,0,2.26,0,0.042976
org.eclipse.jdt.core.ClasspathVariableInitializer,0,0,0,0,0,0.001763,0,0,0,2.221467,0,0,0,0,0,2,0,0,0.530096,0,0,0,0,5,0,1,1,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0.034018,0,0,0,0,0,1,0,0,0,0
org.eclipse.jdt.core.CompletionContext,0,0.108746,0,2.05,2.05,0.032538,0.147259,0,0,5.811454,0.133611,0,3.13,5,0,16,0,0,3.012852,0,0.476519,3.13,4,117,11,15,2,2,0,0,105,4.09,25,0.139516,0.132307,0.112318,2.03,4.04,6,3.22,5,0,3.13,0,2.03,0.793824,4.09,0.114955,0.462997,0.124803,11,15,0.12538,4.09,0.376617,0.139141
org.eclipse.jdt.core.CompletionFlags,0,0,0,0,0,0.023108,0,0,0,0.520162,0,0,0,2,0,2,0,0,0.142986,0,0,0,0,9,0,1,1,2,0,0,0,0,2,0,0,0,0,0,2,0,2,0,0,0,0,0.013688,0,0,0,0,0,1,0,0,0,0
org.eclipse.jdt.core.CompletionProposal,0,0.136355,0,4.13,6.22,0.226843,0.142167,0,0.107242,10.774308,0.103458,0,7.16,25,0,40,0,4.07,3.901429,0,0.023097,7.16,5,386,20,39,2,3,0,0,645,3.03,57,0.142864,0.132139,0.183264,2.02,13.64,8,8.23,49,22,7.16,0,2.02,0.717944,3.03,0.039136,0.023943,0.15374,17,39,0.038599,13.07,0.316807,0.142913
org.eclipse.jdt.core.CompletionRequestor,0,0.115939,0.013887,0,3.03,0.042385,0.168755,1.01,0.169513,6.61923,0,0,4.07,0,1,15,0,3.03,2.782688,0,0,5.08,3,81,0,13,1,14,0,0,70,0,16,0.216894,0.161596,0.172499,1.01,4.57,17,5.08,4,4,4.07,0,2.02,0.593445,0,0.0112,0,0.203203,0,13,0.024979,5.51,0.294475,0.160492
org.eclipse.jdt.core.CompletionRequestorAdapter,0,0,0,0,0,0.001763,0,0,0,2.221467,0,0,0,0,0,15,0,0,0.530096,0,0,0,2,127,0,14,1,0,0,0,91,0,15,0,0,0,0,0,2,0,0,0,0,0,0,0.034018,0,0,0,0,0,14,0,0,0,0
