name,ck_oo_numberOfPrivateMethods,LDHH_lcom,LDHH_fanIn,WCHU_numberOfPublicAttributes,WCHU_numberOfAttributes,CvsWEntropy,LDHH_numberOfPublicMethods,WCHU_fanIn,LDHH_numberOfPrivateAttributes,CvsEntropy,LDHH_numberOfPublicAttributes,WCHU_numberOfPrivateMethods,WCHU_numberOfMethods,ck_oo_numberOfPublicAttributes,ck_oo_noc,ck_oo_wmc,LDHH_numberOfPrivateMethods,WCHU_numberOfPrivateAttributes,CvsLogEntropy,WCHU_noc,LDHH_numberOfAttributesInherited,WCHU_wmc,ck_oo_fanOut,ck_oo_numberOfLinesOfCode,ck_oo_numberOfAttributesInherited,ck_oo_numberOfMethods,ck_oo_dit,ck_oo_fanIn,LDHH_noc,WCHU_dit,ck_oo_lcom,WCHU_numberOfAttributesInherited,ck_oo_rfc,LDHH_wmc,LDHH_numberOfAttributes,LDHH_numberOfLinesOfCode,WCHU_fanOut,WCHU_lcom,ck_oo_cbo,WCHU_rfc,ck_oo_numberOfAttributes,ck_oo_numberOfPrivateAttributes,WCHU_numberOfPublicMethods,LDHH_dit,WCHU_cbo,CvsLinEntropy,WCHU_numberOfMethodsInherited,LDHH_fanOut,LDHH_numberOfMethodsInherited,LDHH_rfc,ck_oo_numberOfMethodsInherited,ck_oo_numberOfPublicMethods,LDHH_cbo,WCHU_numberOfLinesOfCode,CvsExpEntropy,LDHH_numberOfMethods
com.sleepycat.db.DbHandleExtractor,0,0,0,0,0,0.001582,0,0,0,1.543304,0,0,0,0,0,3,0,0,1.169512,0,0,0,0,13,0,2,1,1,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0.346995,0,0,0,0,0,2,0,0,0.242286,0
lucli.LuceneMethods,5,0,0,0,1.01,0.029492,0,0,0,1.89848,0,0,0,0,0,13,0,2.07,1.538865,0,0,0,19,209,0,12,1,1,0,0,24,0,89,0,0,0.189127,4.04,0,20,4.07,8,8,0,0,4.04,0.494468,0,0.054807,0,0.708171,0,7,0.053827,3.03,0.273376,0
lucli.Lucli,12,0.009874,0,0,0,0.000385,0,0,0,0.360349,0,1.01,1.01,1,0,14,0,0,0.093588,0,0,1.01,2,196,0,13,1,0,0,0,64,0,50,0,0,0.004904,2.02,1.06,2,1.01,19,0,0,0,2.02,0.007667,0,0.024384,0,0.009301,0,1,0.021122,1.18,0,0
org.apache.lucene.LucenePackage,0,0,0,0,0,0.004501,0,0,0,1.434709,0,0,0,0,0,2,0,0,0.347194,0,0,0,0,6,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.023545,0,0,0,0,0,1,0,0,0,0
org.apache.lucene.SearchTestForDuplicates,1,0,0,0,0,0.005948,0,0,0,2.675379,0,0,0,0,0,3,0,0,1.620602,0,0,0,15,50,0,2,1,0,0,0,0,0,23,0,0,0,3.04,0,15,1.01,5,0,0,0,3.04,0.439869,0,0.121918,0,0.088462,0,1,0.123732,0,0.242369,0
org.apache.lucene.analysis.Analyzer,0,0.037971,0.697581,0,1.01,0.01282,0.052054,25.46,0.02745,3.506037,0,0,3.05,0,20,6,0,1.01,0.91485,5.06,0,3.05,1,17,0,5,1,59,0.108916,0,8,0,9,0.051987,0.023356,0.048217,0,3.11,60,3.08,1,1,3.03,0,25.46,0.080183,0,0,0,0.055976,0,3,0.714495,3.21,0,0.053034
org.apache.lucene.analysis.CachingTokenFilter,1,0,0.081606,0,0,0.059118,0,1.02,0,2.09185,0,0,0,0,0,4,0,0,0.962656,0,0,0,3,30,1,3,3,2,0,0,0,0,12,0,0,0.204349,0,0,5,2.02,2,2,0,0,1.02,0.245237,1.01,0,0.031409,0.256369,2,2,0.081654,2.04,0.031174,0
org.apache.lucene.analysis.CharArraySet,7,0.021858,0.084272,0,1.02,0.029238,0.037188,1.03,0.041868,2.128959,0,1.04,1.11,0,0,19,0.036185,1.02,0.670336,0,0,1.12,0,178,0,17,3,4,0,1.02,80,0,29,0.034888,0.042131,0.082364,0,1.77,4,1.2,4,4,1.07,0,1.03,0.089601,0,0,0,0.036415,0,10,0.084272,2.76,0,0.036341
org.apache.lucene.analysis.CharTokenizer,0,0.020168,0,0,1.01,0.007658,0.029805,0,0.02745,2.274914,0,0,1.01,0,3,5,0,1.01,0.909177,0,0,1.01,2,54,1,4,3,3,0,0,4,0,14,0.028105,0.023356,0.242675,0,1.01,5,3.06,6,6,1.01,0,0,0.202855,2.02,0,0.057725,0.30271,3,2,0,3.11,0.03109,0.029109
org.apache.lucene.analysis.ISOLatin1AccentFilter,0,0,0,0,1.02,0.282896,0,0,0.02745,3.847906,0,2.02,2.02,0,0,3,0.028911,1.02,1.489153,0,0,2.02,3,197,1,2,3,0,0,0,0,0,8,0.028105,0.023356,0.401071,0,1.01,3,3.08,2,2,0,0,0,0.327574,2.02,0,0.057725,0.045289,3,2,0,4.6,0.041603,0.029109
org.apache.lucene.analysis.KeywordAnalyzer,0,0.020168,0,0,0,0.033077,0.029805,0,0,3.345242,0,0,1.01,0,0,3,0,0,0.859463,0,0,1.01,4,16,0,2,2,0,0,0,1,0,7,0.028105,0,0.065291,1.01,1.01,4,2.04,0,0,1.01,0,1.01,0.073655,3.04,0.028465,0.058468,0.072827,3,2,0.028903,2.1,0,0.029109
org.apache.lucene.analysis.KeywordTokenizer,0,0,0,0,1.01,0.028857,0.045655,0,0.02745,4.51037,0,0,1.01,0,0,4,0,1.01,1.459206,0,0,1.01,2,34,1,2,3,1,0,0,0,0,11,0.042421,0.023356,0.259815,0,0,3,4.07,2,2,1.01,0,0,0.245931,3.04,0,0.105344,0.345779,3,2,0,3.06,0.03109,0.045912
org.apache.lucene.analysis.LengthFilter,0,0,0,0,0,0.003145,0,0,0,2.377398,0,0,0,0,0,2,0,0,0.907909,0,0,0,3,22,1,1,3,0,0,0,0,0,5,0,0,0.17703,0,0,3,1.01,2,0,0,0,0,0.195246,2.02,0,0.057725,0.029757,3,1,0,1.01,0.03109,0
org.apache.lucene.analysis.LetterTokenizer,0,0,0,0,0,0.001321,0,0,0,0.884702,0,0,0,0,1,2,0,0,0.226138,0,0,0,1,8,1,1,4,1,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0.017694,2.03,0,0.057725,0,6,0,0,0,0,0
org.apache.lucene.analysis.LowerCaseFilter,0,0,0,0,0,0.003994,0,0,0,2.030119,0,0,0,0,0,2,0,0,0.827475,0,0,0,3,17,1,1,3,6,0,0,0,0,7,0,0,0.201106,0,0,9,2.02,0,0,0,0,0,0.190616,2.02,0,0.057725,0.256715,3,1,0,2.05,0.03109,0
org.apache.lucene.analysis.LowerCaseTokenizer,0,0,0,0,0,0.001321,0,0,0,0.884702,0,0,0,0,0,2,0,0,0.226138,0,0,0,1,8,1,1,5,2,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0.017694,2.03,0,0.057725,0,6,0,0,0,0,0
org.apache.lucene.analysis.PerFieldAnalyzerWrapper,0,0,0.054668,0,0,0.028817,0.029805,2.02,0,3.132638,0,0,3.03,0,0,6,0,0,0.777194,0,0,3.03,2,32,0,5,2,0,0,0,0,0,12,0.057727,0,0.049754,0,0,2,3.05,2,2,3.03,0,2.02,0.057632,4.05,0,0.058468,0.057864,2,5,0.054736,3.15,0,0.046966
org.apache.lucene.analysis.PorterStemFilter,0,0,0,0,0,0.00409,0,0,0,2.030119,0,0,0,0,0,2,0,0,0.827475,0,0,0,4,16,1,1,3,0,0,0,0,0,11,0,0,0.024076,0,0,4,2.05,1,1,0,0,0,0.190616,2.02,0,0.057725,0.256715,3,1,0,1.02,0.03109,0
org.apache.lucene.analysis.PorterStemmer,12,0,0,0,0,0.001481,0,0,0,1.774673,0,0,0,0,0,27,0,0,0.509936,0,0,0,0,336,0,26,1,1,0,0,23,0,40,0,0,0.034334,1.01,0,1,1.01,8,8,0,0,1.01,0.056388,0,0.014711,0,0.036415,0,12,0.014466,1.02,0,0
org.apache.lucene.analysis.SimpleAnalyzer,0,0.020168,0.034068,0,0,0.002643,0.029805,3.03,0,1.405652,0,0,1.01,0,0,3,0,0,0.377828,0,0,1.01,4,14,0,2,2,5,0,0,1,0,7,0.028105,0,0.024076,1.01,1.01,9,1.04,0,0,1.01,0,4.04,0.034499,3.04,0.028465,0.058468,0.029757,3,2,0.062087,1.09,0,0.029109
org.apache.lucene.analysis.SinkTokenizer,0,0,0.042133,0,0,0.01578,0.044018,1.03,0,3.143135,0,0,1.01,0,3,8,0,0,1.993045,1.03,0,1.03,2,37,1,5,3,4,0.044134,0,0,0,15,0.043066,0,0.213136,0,0,6,1.04,2,0,1.01,0,1.03,0.569272,1.01,0,0.043647,0.042913,2,5,0.042133,2.15,0.273376,0.044071
org.apache.lucene.analysis.StopAnalyzer,0,0,0.036798,0,0,0.006449,0.029805,3.03,0,3.591368,0,0,1.01,1,0,7,0,0,0.883684,0,0,4.04,6,40,0,2,2,3,0,0,0,0,16,0.061431,0,0.052717,3.04,0,9,4.1,2,1,1.01,0,5.07,0.063885,3.04,0.052278,0.058468,0.061736,3,2,0.076118,4.21,0,0.029109
