name,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc
org.apache.tools.ant.AntClassLoader,46,2,1,22,116,931,17,6,31,0.963492063,547,1,1,0.4875,0.182971014,2,12,10.56521739,12,2.8043
org.apache.tools.ant.AntTypeDefinition,19,1,0,8,38,93,4,4,16,0.805555556,220,1,0,0,0.368421053,1,5,11.21052632,11,3.3684
org.apache.tools.ant.BuildEvent,11,2,0,9,15,25,6,4,11,0.8,51,1,3,0.2,0.220779221,0,0,3.909090909,1,0.7273
org.apache.tools.ant.BuildException,15,4,0,178,24,55,177,1,15,0.678571429,66,1,1,0.529411765,0.322222222,1,4,4.133333333,2,0.6667
org.apache.tools.ant.BuildListener,7,0,6,11,7,21,11,0,7,0,9,0,0,0,1,0,0,1,1,1
org.apache.tools.ant.BuildLogger,4,0,3,5,4,6,4,1,4,0,6,0,0,0,0.5,0,0,1,1,1
org.apache.tools.ant.ComponentHelper,33,1,0,18,120,290,7,14,23,0.917613636,457,1,1,0,0.21969697,1,3,12.03030303,8,2.7273
org.apache.tools.ant.DefaultLogger,15,1,3,15,37,79,7,8,12,0.897959184,126,0.857142857,0,0,0.295238095,0,0,7.8,9,1.9333
org.apache.tools.ant.DemuxInputStream,3,2,0,2,4,0,1,1,3,0,16,1,1,0.857142857,0.5,0,0,4.333333333,2,1
org.apache.tools.ant.DemuxOutputStream,10,2,0,2,24,33,1,1,5,0.904761905,101,1,1,0.1,0.283333333,0,0,8.8,9,2.4
org.apache.tools.ant.Diagnostics,16,1,0,3,51,120,1,3,5,1,226,1,0,0,0.390625,1,3,13.875,8,2.9375
org.apache.tools.ant.DirectoryScanner,52,1,1,34,108,1114,27,7,28,0.950980392,604,1,2,0,0.271978022,0,0,10.78846154,27,3.1154
org.apache.tools.ant.DynamicConfigurator,2,0,1,2,2,1,2,0,2,0,5,0,0,0,1,0,0,1.5,1,1
org.apache.tools.ant.ExitException,3,5,0,1,4,0,1,0,3,0,14,1,0,0.933333333,0.666666667,0,0,3.666666667,1,0.3333
org.apache.tools.ant.IntrospectionHelper,31,1,0,10,90,371,5,6,22,0.903703704,736,1,0,0,0.29390681,1,4,19.93548387,10,2.9355
org.apache.tools.ant.Location,7,1,0,75,17,11,74,1,6,0.875,42,0.75,0,0,0.392857143,0,0,5.142857143,3,0.7143
